respondent_idx,mds_dim1,mds_dim2,party,ingroup_text
155,-0.4697982053236145,-0.3539154472280609,ODS,"Vědí, že už toho v politice moc zachránit nejde, a je důležité alespoň zkusit zabránit těm nejvíc škodlivým lidem, aby se tam dostali. Například Babiš, který dokáže v těch intelektuálně slabších lidech probudit hysterii, paniku, ovčí chování a podobné... hlavně fanatické myšlení. Je důležité chodit volit, aby se zabránilo jemu podobným, dostat se na vyšší pozice, ale vlastně nejde vybrat nikoho, kdo by dokázal něco změnit, nebo něco zlepšit. "
156,-0.275086168553421,-0.6544185965626137,Pirati,"Tak, že se zajímají o politiku i společenská témata, sledují dění, chodí pravidelně k volbám."
157,-0.10583214902388713,0.7814623979036014,ANO,"Známe se dlouhé roky,máme stejný vkus a poškozeni únorem 1948"
158,0.472834355472392,0.5727253422052848,ANO,"Nižšĺ a střední vzdělání, celkový přehled o politickém dění i ekonomice u nás i v dalších státech."
159,0.43048283591734354,0.5375773060679931,STAN,"pravicoví, slušní, nejsou v politice pro peníze"
160,0.3357398803098261,0.19832078679718085,Other,"jsou pro svobodu slova, nevidí svět černobíle, jsou pro zrušení dotací (kromě sociálních - charita), jsou pro registraci neziskovek, které jsou finančně podporovány z ciziny, hájí zájmy obyvatel ČR a nikoliv jiných  zemí, jsou proti Green Dealu a diktátu Bruselu."
161,-0.19050227317480897,0.02298245204671345,ODS,"Hodně lidí z této skupiny má špatné zkušenosti z doby komunismu. Velmi často jsou to lidé kteří přemýšlí o své budoucnosti a ví, že jsou odpovědni za svou budoucnost. Překvapilo mě, že nezáleží na vzdělání, ale na ochotě hledat argumenty."
162,0.1380076205074761,0.29192543467482307,Unknown,"Střední nebo nižší vrstva lidí, lidé narození před rokem 1989, lidé se smyslem pro spravedlnost, lidé kteří chtějí kompetentní politiky."
163,-0.715101583379472,-0.23901131895142322,KSCM,"inteligentní  vzdělaní ,nejsou sociopati"
164,-0.2868807781817281,0.19163406327525812,Unknown,Jsou to lidé co uznávají hodnoty a nemají rádi extrémismus
165,0.7787156080735138,0.1524686530497163,STAN,"nespokojení se současným systémem, racionálně uvažující, mimo hlavní názorový proud"
166,-0.41509274065254786,-0.5726127161309734,Unknown,"Nevim, neumím takové lidi popsat "
167,0.11273151665810688,0.5970722389029928,ANO,"Vzdělaní lidé pracující jako řadový zaměstnanci, s rodinou."
168,-0.6309969819293347,-0.28514034954418016,SPD,znechuceni stávající politikou a očekávající změny k lepšímu pro obyčejné lidi 
169,-0.04249549669308278,-0.5748056474202381,Other,"Tito lidé vědí, že takhle už to dál nejde, že je potřebná změna v přístupu k lidem."
170,-0.225720727820134,-0.30936420728096947,ANO,"Jde o lidi, kteří jsou ochotni o různých problémech diskutovat, případně se i vyjádřit jak by to mělo vypadat, jak by se měla věc řešit. Nechtějí problémy řešit násilím, zbytečně nenálepkují."
171,0.4493104262842866,0.03470243182709468,Other,"Musí to být lidé, kteří podporují opravdovou demokracii, to jest otevřeně diskutují, ale v době kdy je uzavřena diskuse se podporují názor většiny. V současné době u nás není demokracie protože si většina obyvatel, hlavně ti mladí myslí, že demokracie je to, že si mohou za všech okolností dělat co oni chtějí. Nerespektují většinový názor. Společnost je nenaučila co je demokracie, kterou zúžila jen na možnost cestování, nakupování a spotřebě a možnosti dělat si co chci JÁ. "
172,-0.669474450028717,-0.37541974986961807,KSCM,Normální a inteligentní ne idioti co volili 5ti demolici
173,0.7319619594188734,0.06677274834678243,Unknown,"Moc se s lidma o politice nebavím, nezajímá mně to."
174,0.5854720482408523,-0.503312403367815,ANO,"Začal bych podporou rodin s dětmi, podpora rozvoje bydlení, zrušil bych podpory flákačům a co nejrychleji se zbavil krimigrantů"
175,0.2043465911224213,0.7584413424791517,Unknown,Nejsou do těchto problémů extra zainteresováni
